window_start_s,window_end_s,dominant_activity,n_samples,mean_residual_pupil_mm,mean_raw_pupil_mm,mean_gaze_entropy_bits,mean_target_switch_rate_hz,task_dwell_s,tutorial_dwell_s,support_dwell_s,confusion_frac,n_rescue_saccades
147.7852,149.7852,SecarSemente,43,0.3252,2.7549,3.2717,3.6395,0.0000,0.0000,1.9692,0.0000,0
149.7852,151.7852,SecarSemente,43,0.0950,2.5239,3.5322,4.0581,0.0000,0.0000,1.9278,0.0000,0
151.7852,153.7852,SecarSemente,43,0.0652,2.5128,3.5322,2.5465,0.8373,0.0000,1.1111,0.0000,0
153.7852,155.7852,SecarSemente,43,0.4891,2.9614,3.6139,2.2326,1.9367,0.0000,0.0000,0.0000,0
155.7852,157.7852,SecarSemente,43,0.2729,2.7099,3.8250,2.9302,0.2341,0.0000,1.7607,0.0000,0
157.7852,159.7852,SecarSemente,42,-0.0590,2.3698,3.8250,4.8690,0.0000,0.0000,1.9478,0.0000,0
159.7852,161.7852,SecarSemente,42,0.1591,2.6180,3.8745,5.0119,1.3143,0.0000,0.6112,0.0000,0
161.7852,163.7852,DescascarSemente,43,0.6778,3.1358,3.9344,5.8488,1.3930,0.0000,0.5690,0.0000,0
163.7852,165.7852,DescascarSemente,42,0.6786,3.1250,3.9344,6.5000,0.8143,0.0000,1.1472,0.0000,0
165.7852,167.7852,DescascarSemente,41,0.8206,3.2534,4.1311,7.5488,0.1842,0.0000,1.7612,0.0000,0
167.7852,169.7852,DescascarSemente,44,0.4913,2.9260,4.2570,7.0114,0.1339,0.0000,1.8261,0.0000,0
169.7852,171.7852,DescascarSemente,40,0.3781,2.8082,4.2570,5.1750,0.0474,0.0000,1.8992,0.0000,0
171.7852,173.7852,DescascarSemente,37,0.5376,2.9694,4.4324,5.0811,0.1129,0.0000,1.8443,0.7027,0
173.7852,175.7852,DescascarSemente,37,0.4464,2.8760,4.5067,3.9324,0.0000,0.0000,1.9512,1.0000,0
175.7852,177.7852,DescascarSemente,37,0.1772,2.6076,4.5067,4.4459,0.1137,0.0000,1.8444,1.0000,0
177.7852,179.7852,DescascarSemente,40,0.3771,2.8140,4.4847,4.4750,0.2443,0.0000,1.6682,1.0000,0
179.7852,181.7852,DescascarSemente,49,0.5340,3.0038,4.4627,4.9796,1.9819,0.0000,0.0000,1.0000,0
181.7852,183.7852,DescascarSemente,45,0.7122,3.1487,4.4627,6.1222,0.1751,0.0000,1.7838,1.0000,0
183.7852,185.7852,DescascarSemente,44,0.6699,3.1017,3.6079,5.7500,0.0526,0.0000,1.8965,0.1364,0
185.7852,187.7852,DescascarSemente,43,0.8367,3.2740,3.4729,6.1977,0.2244,0.4352,1.3092,0.0000,0
187.7852,189.7852,DescascarSemente,45,0.8799,3.3103,3.5879,5.2778,0.0000,0.0000,1.9278,0.1333,0
189.7852,191.7852,DescascarSemente,47,0.9132,3.3525,4.3357,4.9681,0.4241,0.0000,1.5461,1.0000,0
191.7852,193.7852,DescascarSemente,47,0.9381,3.3745,4.3357,4.1809,0.2329,0.0000,1.6927,1.0000,0
193.7852,195.7852,DescascarSemente,47,0.5231,2.9705,3.9128,5.6383,0.8384,0.0000,1.1355,0.4255,0
195.7852,197.7852,DescascarSemente,42,0.6157,3.0640,3.5994,7.3929,0.7346,0.0000,1.2383,0.0000,0
197.7852,199.7852,DescascarSemente,37,0.5266,2.9646,3.5994,9.5676,0.5223,0.0000,1.3818,0.0000,0
199.7852,201.7852,DescascarSemente,38,0.0505,2.4885,3.5404,10.1184,0.3676,0.0554,1.5282,0.0000,0
201.7852,203.7852,DescascarSemente,38,-0.2478,2.1846,3.5060,10.0526,0.1595,0.0576,1.7656,0.0000,0
203.7852,205.7852,DescascarSemente,37,-0.0318,2.4052,3.5060,10.6081,0.5492,0.0000,1.3673,0.0000,0
205.7852,207.7852,DescascarSemente,38,0.3713,2.8018,3.5060,10.4605,0.0000,0.0000,1.9389,0.0000,0
207.7852,209.7852,DescascarSemente,37,0.1816,2.6155,3.5060,9.8514,0.2753,0.0000,1.6950,0.0000,0
209.7852,211.7852,DescascarSemente,40,0.5821,3.0427,3.5060,9.8750,1.5691,0.0000,0.3693,0.0000,0
211.7852,213.7852,DescascarSemente,41,0.4735,2.9364,3.5060,8.0000,1.5582,0.0000,0.3897,0.0000,0
213.7852,215.7852,DescascarSemente,31,0.1848,2.6383,,7.5645,0.9229,0.0000,1.0405,0.0000,0
215.7852,217.7852,DescascarSemente,24,0.2854,2.7382,,6.8333,0.9492,0.0000,0.7297,0.0000,0
