SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,TargetCategory,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime
38.44841,Default,CortarCacau,Writebook_4,-502,Default,tutorial,-1.535671,1.033272,3.251048,0.4434772,-0.2433498,-0.8626174,4.571678,2.435226,1.405404,0.2506535,-0.8200837,-0.1080145,0.5619569,0.7681117,0.8065754,0,3.785706,2.474196,3.129951,1,1,1,1,1,0,0.2670517
38.51237,Default,CortarCacau,Writebook_4,-502,Default,tutorial,-1.559218,1.063685,3.23176,0.3113766,-0.325184,-0.8929166,4.626337,2.437938,1.404115,0.2568462,-0.8303477,-0.1087301,0.546535,0.9688765,0.9009666,0,3.785706,2.474196,3.129951,1,1,1,1,1,0,0.3310051
38.58383,Default,CortarCacau,Writebook_4,-502,Default,tutorial,-1.55544,1.058832,3.234845,0.2972645,-0.3364919,-0.8935363,4.630149,2.440542,1.403133,0.2635033,-0.8309345,-0.1106977,0.5452467,0.9934729,0.9792312,0,3.785706,2.474196,3.129951,1,1,1,1,1,0,0.4024696
38.64917,Default,CortarCacau,Writebook_4,-502,Default,tutorial,-1.535672,1.033272,3.251048,0.5818525,-0.3174838,-0.7487668,4.546968,2.442312,1.403336,0.2688153,-0.8108829,-0.1162988,0.573536,0.9991239,0.9972125,0,3.785706,2.474196,3.129951,1,1,1,1,1,0,0.4678078
38.71204,Default,CortarCacau,Writebook_4,-502,Default,tutorial,-1.535672,1.033271,3.251048,0.394133,-0.3097228,-0.8652925,4.588641,2.442868,1.403239,0.2726906,-0.8240943,-0.1143755,0.5547854,0.9998163,0.9994154,0,3.785706,2.474196,3.129951,1,1,1,1,1,0,0.5306778
38.78027,Default,CortarCacau,Writebook_4,-502,Default,tutorial,-1.535672,1.033272,3.251048,0.2202296,-0.5735697,-0.7889974,4.696753,2.44263,1.403188,0.2748138,-0.8235875,-0.1398203,0.5496852,0.9999615,0.9998774,0,3.785706,2.474196,3.129951,1,1,1,1,1,0,0.5989037
38.84919,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,1.11552,1.210884,1,0,0,1.714451,2.441797,1.402804,0.2743661,-0.8206904,-0.1675662,0.5462497,0.9999935,0.9999794,0,3.785706,2.474196,3.129951,1,1,1,1,1,1,0
38.91343,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,1.094166,1.191586,1,0,0,1.707866,2.440603,1.401934,0.2719644,-0.8231552,-0.1802062,0.538462,0.9999989,0.9999965,0,3.794064,2.27943,3.036747,1,1,1,1,1,0,0.0642395
38.98101,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,1.139225,1.045107,1,0,0,1.625861,2.439026,1.400663,0.2684981,-0.8637038,-0.1608,0.4776599,0.9999998,0.9999994,0,3.114158,2.370524,2.742341,1,1,1,1,1,0,0.1318207
39.0494,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,1.125365,1.008005,1,0,0,1.610836,2.437269,1.399524,0.2646284,-0.8706691,-0.1701968,0.461485,0.9999999,0.9999999,0,3.06955,2.405742,2.737646,1,1,1,1,1,0,0.2002144
39.11327,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,1.120304,0.9967616,1,0,0,1.607123,2.435915,1.399028,0.2606,-0.8718379,-0.1734304,0.4580617,0.9999999,0.9999999,0,3.027537,2.376451,2.701993,1,1,1,1,1,0,0.26408
39.18091,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,1.126284,0.9867387,1,0,0,1.60222,2.434649,1.399372,0.2567689,-0.8737155,-0.1704436,0.4555988,0.9999999,0.9999999,0,3.027988,2.370338,2.699163,1,1,1,1,1,0,0.3317223
39.24802,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,1.132561,0.9706249,1,0,0,1.594783,2.433782,1.399775,0.2532134,-0.8772464,-0.1675552,0.4498488,0.9999999,0.9999999,0,2.991463,2.381302,2.686383,1,1,1,1,1,0,0.3988266
39.31476,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,1.133906,0.9512362,1,0,0,1.587207,2.433242,1.399796,0.2492488,-0.8810939,-0.1675206,0.4422787,0.9999999,0.9999999,0,3.004209,2.334693,2.669451,1,1,1,1,1,0,0.4655724
39.3837,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,1.138242,0.8848901,1,0,0,1.559149,2.432482,1.399484,0.2452934,-0.8964618,-0.167554,0.4102218,0.9999999,0.9999999,0,3.01581,2.328012,2.671911,1,1,1,1,1,0,0.5345116
39.46208,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,1.142303,0.8886952,1,0,0,1.56046,2.43098,1.39928,0.2409474,-0.8947469,-0.1646803,0.4151004,0.9999999,0.9999999,0,2.967473,2.35125,2.659362,1,1,1,1,1,0,0.6128922
39.5274,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,1.147643,0.8326914,1,0,0,1.536781,2.429242,1.399494,0.2379663,-0.907402,-0.163882,0.386994,0.9999999,0.9999999,0,3.09647,2.307512,2.701991,1,1,1,1,1,0,0.6782112
39.5929,Default,CortarCacau,Writebook_5,-510,Default,tutorial,-1.352232,1.29935,1.476039,0.7071068,-0.7071068,-8.940697E-08,3.671428,2.426837,1.400196,0.235579,-0.9330203,-0.1237664,0.3378685,0.9999999,0.9999999,0,3.051627,2.386731,2.719179,1,1,1,1,1,1,0
39.65978,Default,CortarCacau,Writebook_5,-510,Default,tutorial,-1.37003,1.281552,1.408866,0.7071068,-0.7071068,-8.940697E-08,3.665835,2.423478,1.401316,0.2336958,-0.9383824,-0.1291158,0.3205737,0.9999999,0.9999999,0,3.029348,2.396044,2.712697,1,1,1,1,1,0,0.06687927
39.72989,Default,CortarCacau,Writebook_5,-510,Default,tutorial,-1.384063,1.26752,1.349593,0.7071068,-0.7071068,-8.940697E-08,3.658936,2.419362,1.402816,0.2327996,-0.9428619,-0.1336044,0.3052233,0.9999999,0.9999999,0,3.028675,2.438519,2.733597,1,1,1,1,1,0,0.136982
39.80718,Default,CortarCacau,Writebook_5,-510,Default,tutorial,-1.411452,1.24013,1.348182,0.7071068,-0.7071068,-8.940697E-08,3.682836,2.413431,1.404337,0.2323532,-0.9425697,-0.1405874,0.302981,0.9999999,0.9999999,0,3.031028,2.445264,2.738146,1,1,1,1,1,0,0.2142754
39.8716,Default,CortarCacau,Writebook_5,-510,Default,tutorial,-1.440336,1.211246,1.392967,0.7071068,-0.7071068,-8.940697E-08,3.723106,2.408221,1.404886,0.2323472,-0.9387336,-0.1469726,0.3117342,0.9999999,0.9999999,0,3.067144,2.42325,2.745197,1,1,1,1,1,0,0.278698
