consultation_start_s,consultation_end_s,dwell_s,n_fixations,target,activity,nearest_activity,nearest_activity_start_s,offset_s,timing
197.09210205078125,198.08340454101562,0.9463043212890625,2,Writebook_6,TorrarAmendoa,TorrarAmendoa,195.42149353027344,1.6706085205078125,depois
198.81849670410156,199.36410522460938,0.501007080078125,2,Writebook_6,TorrarAmendoa,TorrarAmendoa,195.42149353027344,3.397003173828125,depois
203.73060607910156,215.47340393066406,10.739578247070312,16,Writebook_5,TorrarAmendoa,TorrarAmendoa,195.42149353027344,8.309112548828125,fora_janela
216.08529663085938,217.1197052001953,0.9004058837890625,4,Writebook_6,Misturar,Misturar,212.9969024658203,3.0883941650390625,depois
217.50869750976562,217.9907989501953,0.4821014404296875,1,Writebook_5,Misturar,Misturar,212.9969024658203,4.5117950439453125,depois
218.57940673828125,219.0489044189453,0.4163970947265625,2,Writebook_5,Misturar,Misturar,212.9969024658203,5.5825042724609375,depois
232.8719940185547,233.3376007080078,0.28790283203125,2,Writebook_5,Misturar,Formar,234.5825958251953,-1.710601806640625,antes
245.43080139160156,246.97900390625,1.459381103515625,3,Writebook_5,Formar,Formar,234.5825958251953,10.84820556640625,fora_janela
252.01280212402344,252.4691925048828,0.333282470703125,2,Writebook_5,Formar,Formar,234.5825958251953,17.430206298828125,fora_janela
252.8280029296875,254.6013946533203,1.6808929443359375,3,Writebook_5,Formar,Formar,234.5825958251953,18.245407104492188,fora_janela
254.91940307617188,255.82200622558594,0.8141021728515625,3,Paper_1,Formar,Formar,234.5825958251953,20.336807250976562,fora_janela
263.90838623046875,264.0303039550781,0.121917724609375,1,Writebook_5,Formar,Formar,234.5825958251953,29.325790405273438,fora_janela
265.17779541015625,267.2283020019531,1.963714599609375,3,Writebook_5,Formar,Formar,234.5825958251953,30.595199584960938,fora_janela
270.6695861816406,270.7908935546875,0.121307373046875,1,Writebook_5,Formar,Formar,234.5825958251953,36.08699035644531,fora_janela
273.8765869140625,274.3245849609375,0.281097412109375,2,Writebook_5,Formar,Formar,234.5825958251953,39.29399108886719,fora_janela
276.9736022949219,277.15179443359375,0.178192138671875,1,Writebook_5,Formar,Formar,234.5825958251953,42.39100646972656,fora_janela
277.6430969238281,278.0975036621094,0.45440673828125,1,Writebook_5,Formar,Formar,234.5825958251953,43.06050109863281,fora_janela
279.0340881347656,280.5150146484375,1.16021728515625,5,Writebook_5,Formar,Formar,234.5825958251953,44.45149230957031,fora_janela
282.5663146972656,287.0082092285156,4.24652099609375,6,Writebook_5,Formar,Formar,234.5825958251953,47.98371887207031,fora_janela
