SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,TargetCategory,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime
17.91955,Default,CortarCacau,Writebook_5,-826,Default,tutorial,-1.343655,1.364496,1.263674,0.7071068,-0.7071068,-8.940697E-08,2.424081,0.02037996,1.660917,-0.7181709,-0.5627019,-0.1222817,0.8175657,0.9999999,0.9999999,0,3.777261,2.901322,3.339292,1,1,1,1,1,0,0.2132988
17.9878,Default,CortarCacau,Writebook_5,-826,Default,tutorial,-1.309322,1.452938,0.8922272,-8.940697E-08,0,-1,2.105683,0.02236234,1.659996,-0.7256857,-0.6324242,-0.09833291,0.7683555,0.516027,0.4096,0,2.875759,2.791388,2.833573,1,1,1,1,1,0,0.2815514
18.06252,Default,CortarCacau,Writebook_5,-826,Default,tutorial,-1.373301,1.444601,0.8922272,-8.940697E-08,0,-1,2.154254,0.02478737,1.659168,-0.7326179,-0.6489894,-0.09960138,0.7542495,0.7957983,0.3851197,0,2.875759,2.791388,2.833573,1,1,1,1,1,0,0.3562679
18.13174,Default,CortarCacau,Writebook_5,-826,Default,tutorial,-1.286533,1.456575,0.8922272,-8.940697E-08,0,-1,2.102798,0.02760117,1.657999,-0.7369562,-0.6249455,-0.09578849,0.7747695,0.9571759,0.8710502,0,2.875759,2.791388,2.833573,1,1,1,1,1,0,0.4254837
18.20641,Default,CortarCacau,Writebook_5,-826,Default,tutorial,-1.291263,1.416888,0.96207,0.7071068,-0.7071068,-8.940697E-08,2.169709,0.03182567,1.653626,-0.741171,-0.6098,-0.1091101,0.7850089,0.9963214,0.9889233,0,2.875759,2.791388,2.833573,1,1,1,1,1,0,0.5001526
18.27588,Default,CortarCacau,Writebook_5,-826,Default,tutorial,-1.343026,1.365126,1.055648,0.7071068,-0.7071068,-8.940697E-08,2.284079,0.03558683,1.64958,-0.7431099,-0.6035748,-0.1245376,0.7875201,0.9990357,0.9970963,0,2.875759,2.791388,2.833573,1,1,1,1,1,0,0.5696278
18.34231,Default,CortarCacau,Writebook_5,-826,Default,tutorial,-1.381818,1.326333,1.198049,0.7071068,-0.7071068,-8.940697E-08,2.427088,0.03988409,1.646671,-0.742802,-0.5857646,-0.1319843,0.7996624,0.9998706,0.9996103,0,2.875759,2.791388,2.833573,1,1,1,1,1,0,0.6360569
18.42069,Default,CortarCacau,Writebook_5,-826,Default,tutorial,-1.133239,1.574912,0.8922272,0.5901737,-0.5901738,-0.5508084,1.759141,0.04651652,1.644353,-0.7397535,-0.5532219,-0.1568959,0.8181254,0.9999782,0.9999346,0,2.875759,2.791388,2.833573,1,1,1,1,1,0,0.7144394
18.48551,Default,CortarCacau,Writebook_5,-826,Default,tutorial,-1.185174,1.522977,0.90816,0.7071068,-0.7071068,-8.940697E-08,1.954382,0.05408058,1.643526,-0.7351757,-0.5074586,-0.1883136,0.840847,0.9999826,0.9999863,0,2.875759,2.791388,2.833573,1,1,1,1,1,0,0.7792549
18.55361,Default,CortarCacau,Writebook_5,-826,Default,tutorial,-1.274079,1.434072,1.259895,0.7071068,-0.7071068,-8.940697E-08,2.313581,0.06181026,1.644075,-0.7297626,-0.4704404,-0.1977411,0.8599908,0.999997,0.9999977,0,2.875759,2.791388,2.833573,1,1,1,1,1,0,0.8473568
18.62033,Default,CortarCacau,Wall,23926,Barrier,support,-0.665388,1.304284,0.772979,1,0,0,1.701751,0.06959973,1.645608,-0.723433,-0.4319007,-0.200572,0.8793365,0.9999995,0.9999996,0,3.051765,3.030435,3.0411,1,1,1,1,1,1,0
18.69962,Default,CortarCacau,Writebook_4,-818,Default,tutorial,-1.561027,1.08984,3.281984,-0.2950372,-0.8402461,-0.4549063,4.301307,0.07700353,1.647105,-0.7170695,-0.4048289,-0.1979285,0.8927138,0.9999999,0.9999999,0,2.9043,3.04265,2.973475,1,1,1,1,1,1,0
18.76511,Default,CortarCacau,Writebook_4,-818,Default,tutorial,-1.561028,1.08984,3.281985,-0.05644715,-0.7593294,-0.6482534,4.199739,0.0817406,1.647956,-0.7125336,-0.3958639,-0.1961744,0.8971106,0.9999999,0.9999999,0,2.955759,3.026902,2.991331,1,1,1,1,1,0,0.06548882
18.84184,Default,CortarCacau,Writebook_4,-818,Default,tutorial,-1.561036,1.08983,3.281996,-0.09712726,-0.6995062,-0.7079955,4.180386,0.08486664,1.649015,-0.7084126,-0.4018523,-0.1923298,0.8952787,0.9999999,0.9999999,0,2.939348,3.01698,2.978164,1,1,1,1,1,0,0.1422157
18.9096,Default,CortarCacau,Writebook_4,-818,Default,tutorial,-1.561028,1.08984,3.281985,-0.2234874,-0.6732316,-0.7048495,4.195897,0.08607213,1.650037,-0.7057664,-0.4111921,-0.189668,0.8915981,0.9999999,0.9999999,0,2.930826,3.017497,2.974162,1,1,1,1,1,0,0.2099762
18.9889,Default,CortarCacau,Writebook_4,-818,Default,tutorial,-1.58136,1.11613,3.265319,-0.1064755,-0.5897852,-0.8005102,4.130465,0.08738819,1.651189,-0.7027386,-0.4130322,-0.1795159,0.8928486,0.9999999,0.9999999,0,2.909302,2.970198,2.93975,1,1,1,1,1,0,0.289278
19.05425,Default,CortarCacau,Writebook_4,-818,Default,tutorial,-1.586739,1.123084,3.260911,-0.08763254,-0.5807956,-0.809319,4.120043,0.08848786,1.651563,-0.7005562,-0.4140487,-0.177609,0.892759,0.9999999,0.9999999,0,2.801619,2.919255,2.860437,1,1,1,1,1,0,0.3546276
19.12275,Default,CortarCacau,Writebook_4,-818,Default,tutorial,-1.580268,1.114712,3.26622,-0.1613123,-0.6143555,-0.7723638,4.14627,0.08926817,1.65211,-0.6982052,-0.4162767,-0.1814697,0.8909447,0.9999999,0.9999999,0,2.820121,2.886834,2.853477,1,1,1,1,1,0,0.4231224
19.20161,Default,CortarCacau,Writebook_4,-818,Default,tutorial,-1.580117,1.114521,3.266339,-0.1697517,-0.6179231,-0.7676948,4.147901,0.089827,1.652308,-0.6963759,-0.4169233,-0.181793,0.8905764,0.9999999,0.9999999,0,2.815492,2.881102,2.848297,1,1,1,1,1,0,0.5019913
19.26764,Default,CortarCacau,Writebook_4,-818,Default,tutorial,-1.571027,1.102767,3.27379,-0.3226487,-0.6720455,-0.666523,4.209352,0.09006049,1.652326,-0.6952184,-0.4214458,-0.186436,0.8874824,0.9999999,0.9999999,0,2.779052,2.884584,2.831818,1,1,1,1,1,0,0.5680122
19.33521,Default,CortarCacau,Wall,23926,Barrier,support,-0.665388,1.318453,0.8605287,1,0,0,1.760789,0.09024722,1.65189,-0.6945318,-0.4291459,-0.1893678,0.8831611,0.9999999,0.9999999,0,2.745469,2.877209,2.811339,1,1,1,1,1,1,0
19.40963,Default,CortarCacau,Wall,23926,Barrier,support,-0.665388,1.317749,0.8202543,1,0,0,1.724997,0.09042951,1.651355,-0.6940321,-0.4381558,-0.193395,0.8778484,0.9999999,0.9999999,0,2.756638,2.847335,2.801986,1,1,1,1,1,0,0.07441521
